,world,question,wq_order,u_order,q_order,response,pol,conform,D%,R%,winner
37,1,1,1,1,37,0.0,1.0,equal,0.5,0.5,equal
280,1,1,2,14,280,1.0,1.0,rebel,0.5,0.0,democrats
342,1,1,3,20,342,0.0,-1.0,equal,0.5,0.5,equal
669,1,1,4,36,669,0.0,2.0,rebel,0.0,0.5,republicans
783,1,1,5,41,783,0.0,1.0,rebel,0.0,0.3333333333333333,republicans
1127,1,1,6,65,1127,1.0,-2.0,rebel,0.0,0.25,republicans
1199,1,1,7,69,1199,0.0,-2.0,rebel,0.5,0.25,democrats
1565,1,1,8,86,1565,0.0,2.0,conform,0.3333333333333333,0.25,democrats
1737,1,1,9,94,1737,0.0,-1.0,rebel,0.3333333333333333,0.2,democrats
1902,1,1,10,103,1902,1.0,2.0,rebel,0.25,0.2,democrats
2172,1,1,11,120,2172,1.0,-1.0,rebel,0.25,0.3333333333333333,republicans
2404,1,1,12,136,2404,0.0,1.0,conform,0.4,0.3333333333333333,democrats
2443,1,1,13,139,2443,0.0,-2.0,rebel,0.4,0.2857142857142857,democrats
2662,1,1,14,149,2670,0.0,-2.0,rebel,0.3333333333333333,0.2857142857142857,democrats
2859,1,1,15,159,2874,1.0,1.0,equal,0.2857142857142857,0.2857142857142857,equal
3260,1,1,16,174,3275,0.0,-2.0,conform,0.2857142857142857,0.375,republicans
3337,1,1,17,183,3352,0.0,1.0,rebel,0.25,0.375,republicans
3535,1,1,18,196,3550,0.0,-2.0,conform,0.25,0.3333333333333333,republicans
3682,1,1,19,203,3697,1.0,1.0,conform,0.2222222222222222,0.3333333333333333,republicans
3847,1,1,20,211,3862,0.0,-1.0,conform,0.2222222222222222,0.4,republicans
4132,1,1,21,225,4149,0.0,1.0,rebel,0.2,0.4,republicans
4327,1,1,22,236,4344,1.0,-2.0,rebel,0.2,0.36363636363636365,republicans
4645,1,1,23,253,4662,1.0,2.0,conform,0.2727272727272727,0.36363636363636365,republicans
4927,1,1,24,267,4944,1.0,-2.0,rebel,0.2727272727272727,0.4166666666666667,republicans
5062,1,1,25,274,5079,1.0,-1.0,rebel,0.3333333333333333,0.4166666666666667,republicans
5257,1,1,26,284,5274,0.0,-1.0,conform,0.38461538461538464,0.4166666666666667,republicans
5318,1,1,27,289,5335,0.0,-1.0,conform,0.35714285714285715,0.4166666666666667,republicans
5671,1,1,28,306,5688,1.0,1.0,conform,0.3333333333333333,0.4166666666666667,republicans
6033,1,1,29,331,6050,1.0,1.0,conform,0.3333333333333333,0.46153846153846156,republicans
6250,1,1,30,342,6267,1.0,2.0,conform,0.3333333333333333,0.5,republicans
6446,1,1,31,352,6463,0.0,2.0,rebel,0.3333333333333333,0.5333333333333333,republicans
6605,1,1,32,360,6622,1.0,-2.0,rebel,0.3333333333333333,0.5,republicans
6843,1,1,33,373,6861,1.0,-1.0,rebel,0.375,0.5,republicans
7207,1,1,34,395,7228,0.0,2.0,rebel,0.4117647058823529,0.5,republicans
7402,1,1,35,402,7423,0.0,-1.0,conform,0.4117647058823529,0.47058823529411764,republicans
7492,1,1,36,410,7513,1.0,2.0,conform,0.3888888888888889,0.47058823529411764,republicans
7571,1,1,37,420,7592,0.0,1.0,rebel,0.3888888888888889,0.5,republicans
8275,1,1,38,451,8297,0.0,-2.0,conform,0.3888888888888889,0.47368421052631576,republicans
8282,1,1,39,444,8304,0.0,2.0,rebel,0.3684210526315789,0.47368421052631576,republicans
8378,1,1,40,461,8400,1.0,1.0,conform,0.3684210526315789,0.45,republicans
8754,1,1,41,482,8782,1.0,1.0,conform,0.3684210526315789,0.47619047619047616,republicans
8811,1,1,42,478,8839,0.0,2.0,rebel,0.3684210526315789,0.5,republicans
9063,1,1,43,493,9091,0.0,1.0,rebel,0.3684210526315789,0.4782608695652174,republicans
9543,1,1,44,519,9571,0.0,-1.0,conform,0.3684210526315789,0.4583333333333333,republicans
9567,1,1,45,529,9595,0.0,-1.0,conform,0.35,0.4583333333333333,republicans
9871,1,1,46,547,9899,1.0,-2.0,rebel,0.3333333333333333,0.4583333333333333,republicans
10117,1,1,47,557,10145,1.0,2.0,conform,0.36363636363636365,0.4583333333333333,republicans
10267,1,1,48,572,10295,1.0,-2.0,rebel,0.36363636363636365,0.48,republicans
10559,1,1,49,591,10587,1.0,-2.0,rebel,0.391304347826087,0.48,republicans
10658,1,1,50,600,10686,1.0,-1.0,rebel,0.4166666666666667,0.48,republicans
10759,1,1,51,588,10787,0.0,-1.0,conform,0.44,0.48,republicans
10984,1,1,52,613,11012,0.0,-2.0,conform,0.4230769230769231,0.48,republicans
11297,1,1,53,631,11325,0.0,1.0,rebel,0.4074074074074074,0.48,republicans
11554,1,1,54,645,11582,1.0,2.0,conform,0.4074074074074074,0.46153846153846156,republicans
11739,1,1,55,657,11767,1.0,2.0,conform,0.4074074074074074,0.48148148148148145,republicans
12000,1,1,56,665,12028,0.0,1.0,rebel,0.4074074074074074,0.5,republicans
12027,1,1,57,672,12055,1.0,1.0,conform,0.4074074074074074,0.4827586206896552,republicans
12284,1,1,58,679,12312,0.0,2.0,rebel,0.4074074074074074,0.5,republicans
12705,1,1,59,700,12733,0.0,1.0,rebel,0.4074074074074074,0.4838709677419355,republicans
12936,1,1,60,718,12964,0.0,-1.0,conform,0.4074074074074074,0.46875,republicans
13051,1,1,61,726,13079,0.0,1.0,rebel,0.39285714285714285,0.46875,republicans
13270,1,1,62,736,13298,0.0,2.0,rebel,0.39285714285714285,0.45454545454545453,republicans
13341,1,1,63,741,13369,1.0,2.0,conform,0.39285714285714285,0.4411764705882353,republicans
13905,1,1,64,769,13933,0.0,-1.0,conform,0.39285714285714285,0.45714285714285713,republicans
14243,1,1,65,786,14271,1.0,2.0,conform,0.3793103448275862,0.45714285714285713,republicans
14308,1,1,66,790,14336,0.0,2.0,rebel,0.3793103448275862,0.4722222222222222,republicans
14543,1,1,67,801,14571,1.0,-2.0,rebel,0.3793103448275862,0.4594594594594595,republicans
14666,1,1,68,810,14694,0.0,1.0,rebel,0.4,0.4594594594594595,republicans
15015,1,1,69,829,15043,1.0,2.0,conform,0.4,0.4473684210526316,republicans
15059,1,1,70,828,15087,1.0,1.0,conform,0.4,0.46153846153846156,republicans
15384,1,1,71,847,15418,1.0,2.0,conform,0.4,0.475,republicans
15549,1,1,72,856,15583,1.0,1.0,conform,0.4,0.4878048780487805,republicans
15734,1,1,73,865,15768,1.0,-1.0,rebel,0.4,0.5,republicans
15864,1,1,74,871,15898,0.0,-1.0,conform,0.41935483870967744,0.5,republicans
16107,1,1,75,882,16141,0.0,-1.0,conform,0.40625,0.5,republicans
16304,1,1,76,894,16338,0.0,-2.0,conform,0.3939393939393939,0.5,republicans
16489,1,1,77,904,16523,0.0,-1.0,conform,0.38235294117647056,0.5,republicans
16588,1,1,78,909,16622,1.0,1.0,conform,0.37142857142857144,0.5,republicans
